time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
14430,1.61781739916519E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.001571,0,0,0,49.530998,22.413912,0.533816,22.947728,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-41,69,1,-2,-2,-2,-2,-2,-2,-2,-2
14432,1.61781739920505E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.002269,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-41,69,1,-2,-2,-2,-2,-2,-2,-2,-2
14434,1.61781739924508E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.002793,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14437,1.61781739930486E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14439,1.61781739934481E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001047,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14440,1.61781739936486E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.002269,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14441,1.6178173993858E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.005061,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14443,1.61781739942469E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000175,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14445,1.61781739946464E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001222,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14447,1.61781739950464E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000698,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14449,1.6178173995454E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000873,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14451,1.61781739958467E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000524,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14454,1.61781739964421E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000524,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14456,1.61781739968525E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000698,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14457,1.61781739970421E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000698,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14458,1.61781739972413E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000873,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14459,1.61781739974407E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.001396,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14460,1.61781739976404E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.001396,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14462,1.61781739980399E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000873,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84061,7045,-44,66,1,-2,-2,-2,-2,-2,-2,-2,-2
14465,1.61781739986391E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-44,66,1,-2,-2,-2,-2,-2,-2,-2,-2
14468,1.6178173999238E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.00192,0,0,0,49.530998,22.869008,0.441376,23.310384,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14471,1.6178173999837E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000524,0,0,0,49.530998,22.869008,0.441376,23.310384,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14473,1.61781740002365E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.002269,0,0,0,71.489998,22.869008,0.441376,23.310384,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14474,1.61781740004356E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.002618,0,0,0,71.489998,22.869008,0.441376,23.310384,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14475,1.61781740006355E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.001745,0,0,0,71.489998,22.869008,0.441376,23.310384,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14477,1.61781740010343E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001745,0,0,0,71.489998,22.869008,0.441376,23.310384,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14479,1.61781740014343E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000175,0,0,0,71.489998,22.869008,0.441376,23.310384,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14482,1.61781740020327E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.002269,0,0,0,71.489998,22.869008,0.441376,23.310384,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14484,1.61781740024317E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14485,1.61781740026314E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14486,1.61781740028303E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000349,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14487,1.61781740030305E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001222,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14488,1.61781740032402E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000175,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14490,1.61781740036299E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001571,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.503168,22.92592,23.429088,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14492,1.61781740040293E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001222,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14495,1.61781740046382E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000175,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14499,1.6178174005426E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001396,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14501,1.61781740058264E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000524,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14502,1.61781740060248E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000524,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14503,1.61781740062352E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.002618,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14504,1.61781740064244E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.003491,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14505,1.61781740066243E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.001571,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14507,1.61781740070245E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.002269,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14510,1.61781740076229E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000524,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14514,1.61781740084209E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000349,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84176,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14516,1.61781740088213E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000175,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14517,1.61781740090195E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000349,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14518,1.61781740092198E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.001222,0,0,0,71.489998,23.341968,0.40356,23.745528,132371,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14519,1.61781740094191E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.001571,0,0,0,71.489998,23.341968,0.40356,23.745528,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
