time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
854,1.61781234951244E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.000349,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-57,53,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-60,50,1,-2,-2,-2,-2,-2,-2,-2,-2
855,1.6178123495324E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-60,50,1,-2,-2,-2,-2,-2,-2,-2,-2
857,1.61781234957235E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
860,1.6178123496322E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.000175,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
864,1.61781234971208E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.002967,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
866,1.61781234975198E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.001571,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
867,1.61781234977191E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.000349,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
868,1.61781234979192E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.000873,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
869,1.61781234981182E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.000349,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
870,1.61781234983186E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.003142,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
872,1.61781234987171E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.001222,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
875,1.61781234993159E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.000349,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
879,1.61781235001155E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.000873,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.405344,80.052992,80.458336,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
881,1.61781235005144E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.000175,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.405344,80.052992,80.458336,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
882,1.61781235007137E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.001047,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.405344,80.052992,80.458336,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
883,1.61781235009148E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.002269,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.405344,80.052992,80.458336,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
884,1.61781235011134E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.000349,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.405344,80.052992,80.458336,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
885,1.61781235013128E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.000873,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.405344,80.052992,80.458336,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
890,1.6178123502311E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.001396,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.405344,80.052992,80.458336,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
892,1.61781235027104E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.002269,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.405344,80.052992,80.458336,853,4242,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
