avg_c_total_tx_mbps,18.787652235081374
avg_c_total_rx_mbps,0.3698090440024111
avg_c_total_mbps,19.157461279083787
avg_c_total_tx_mbps2,nan
avg_c_total_rx_mbps2,nan
avg_c_total_mbps2,nan
avg_s_total_tx_mbps,0.4004164846292948
avg_s_total_rx_mbps,17.724344976491864
avg_s_total_mbps,18.124761461121157
avg_s_total_tx_mbps2,nan
avg_s_total_rx_mbps2,nan
avg_s_total_mbps2,nan
std_c_total_tx_mbps,4.259034643471915
std_c_total_rx_mbps,0.0795501127731875
std_c_total_mbps,4.304059445665723
std_c_total_tx_mbps2,nan
std_c_total_rx_mbps2,nan
std_c_total_mbps2,nan
std_s_total_tx_mbps,0.07815608511982022
std_s_total_rx_mbps,5.296004078153613
std_s_total_mbps,5.369463516408568
std_s_total_tx_mbps2,nan
std_s_total_rx_mbps2,nan
std_s_total_mbps2,nan
