time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_tx_retires_cal,c_retransmits_cal,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_tx_retires_cal,s_retransmits_cal,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_tx_retires2_cal,s_retransmits2_cal,s_rssi2,s_lqi2,s_rssi_status2
76032,1.61781170816014E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000175,0,0,0,32.341,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.408496,16.18272,16.591216,1592,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76033,1.61781170817994E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.001571,0,0,0,32.341,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.408496,16.18272,16.591216,1592,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76035,1.61781170821987E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000524,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.408496,16.18272,16.591216,1592,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76037,1.61781170825976E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000698,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1592,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76039,1.61781170830074E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.001222,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1592,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76041,1.61781170833973E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.001396,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1592,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76044,1.61781170839958E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000524,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1592,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76046,1.61781170843946E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000175,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,5,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76047,1.61781170846044E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.001047,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76048,1.61781170847938E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.00192,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
